Entry	yourlist:M20180311A7434721E10EE6586998A056CCD0537E49A32AY	Entry name	Gene ontology IDs	Status	Protein names	Gene names	Organism	Length	isomap:M20180311A7434721E10EE6586998A056CCD0537E49A32AY	yourlist:M201803118A530B6CA0138AFAA6D2B97CE8C2A9240BFF3DO	Annotation
Q7KB18	AE013599	Q7KB18_DROME	GO:0005789; GO:0019439; GO:0033961	unreviewed	Epoxide hydrolase (EC 3.3.2.9)	Jheh2 DmEH CG15102 Dmel_CG15102	Drosophila melanogaster (Fruit fly)	463		AE013599	2 out of 5
Q7KBL8	AE013599	MED29_DROME	GO:0001104; GO:0006351; GO:0006357; GO:0007530; GO:0007548; GO:0008134; GO:0016592; GO:0018993; GO:0019101; GO:0030154; GO:0035263; GO:0048804; GO:0060548	reviewed	Mediator of RNA polymerase II transcription subunit 29 (Mediator complex subunit 29) (Protein intersex)	ix MED29 CG13201	Drosophila melanogaster (Fruit fly)	188		AE013599	5 out of 5
Q7KE32	AE013599	Q7KE32_DROME	GO:0005549; GO:0005576; GO:0005615; GO:0007606; GO:0007608; GO:0032504	unreviewed	IP02289p (Odorant binding protein d) (Odorant-binding protein 56f)	Obp56f CG30450 Dmel_CG30450	Drosophila melanogaster (Fruit fly)	125		AE013599	2 out of 5
Q7KE33	AE013599	Q7KE33_DROME	GO:0005549; GO:0005576; GO:0005615; GO:0007606; GO:0007608; GO:0032504	unreviewed	Odorant binding protein c (Odorant-binding protein 51a)	Obp51a CG30473 Dmel_CG30473	Drosophila melanogaster (Fruit fly)	117		AE013599	2 out of 5
Q7KF43	AE013599	Q7KF43_DROME	GO:0003677; GO:0003700; GO:0005634; GO:0006355; GO:0007010; GO:0007391; GO:0007417; GO:0007424; GO:0007426; GO:0007427; GO:0007428; GO:0007431; GO:0007435; GO:0007442; GO:0007443; GO:0008104; GO:0008258; GO:0008360; GO:0008406; GO:0016477; GO:0035149; GO:0035297; GO:0045197; GO:0061024	unreviewed	LD16058p (Ribbon) (Ribbon, isoform A) (Ribbon, isoform B)	rib CG7230 Dmel_CG7230	Drosophila melanogaster (Fruit fly)	661		AE013599	5 out of 5
Q7KG36	AE013599	Q7KG36_DROME	GO:0003677; GO:0003700; GO:0005634; GO:0006351; GO:0006355	unreviewed	FI21328p1 (Regular) (Regular, isoform A)	rgr rgr-RA CG8643 Dmel_CG8643	Drosophila melanogaster (Fruit fly)	856		AE013599	2 out of 5
Q7KGG1	AE013599	Q7KGG1_DROME	GO:0005615; GO:0008083; GO:0019239; GO:0043103; GO:0046103	unreviewed	Adenosine deaminase-related growth factor E (EC 3.5.4.4) (FI22878p1)	Adgf-E Adgf-E-RA adgfe CG10143 Dmel_CG10143	Drosophila melanogaster (Fruit fly)	539		AE013599	2 out of 5
Q7KGH1	AE013599	Q7KGH1_DROME	GO:0005319; GO:0005886; GO:0005887; GO:0006644; GO:0007165; GO:0007277; GO:0007280; GO:0007281; GO:0008195; GO:0008354; GO:0016311; GO:0035233; GO:0035234; GO:0042577; GO:0045177; GO:0046839	unreviewed	FI04477p (Wunen 2) (Wunen-2, isoform A) (EC 3.1.3.4)	wun2 wun2-RA CG8805 Dmel_CG8805	Drosophila melanogaster (Fruit fly)	350		AE013599	4 out of 5
Q7KGU6	AE013599	Q7KGU6_DROME	GO:0016021	unreviewed	Lysosomal-associated transmembrane protein	CG14767 Dmel_CG14767	Drosophila melanogaster (Fruit fly)	432		AE013599	1 out of 5
Q7KHE2	AE013599	Q7KHE2_DROME	GO:0004597; GO:0012505; GO:0016021	unreviewed	Aspartyl beta-hydroxylase variant 2 (Aspartyl beta-hydroxylase, isoform B) (EC 1.14.11.16)	Asph CG8421 Dmel_CG8421	Drosophila melanogaster (Fruit fly)	382		AE013599	1 out of 5
Q7KHG2	AE013599	JING_DROME	GO:0000122; GO:0003676; GO:0005634; GO:0006351; GO:0007298; GO:0007382; GO:0007411; GO:0007417; GO:0007418; GO:0007424; GO:0007474; GO:0007479; GO:0008347; GO:0016569; GO:0035098; GO:0042246; GO:0045944; GO:0046872	reviewed	Zinc finger protein jing (Zinc finger protein rhumba)	jing rhumba CG9397 CG9403	Drosophila melanogaster (Fruit fly)	1486		AE013599	5 out of 5
Q7KHI6	AE013599	Q7KHI6_DROME	GO:0004197; GO:0005737; GO:0006508; GO:0006915; GO:0012501; GO:0097153	unreviewed	Daydream (Death associated molecule related to Mch2 caspase, isoform A) (EC 3.4.22.-) (Death associated molecule related to Mch2 caspase, isoform B)	Damm CG18188 Dmel_CG18188	Drosophila melanogaster (Fruit fly)	255		AE013599	2 out of 5
Q7KHK4	AE013599	Q7KHK4_DROME	GO:0003676; GO:0005634; GO:0007476	unreviewed	Comb gap (Combgap, isoform A) (Combgap, isoform D) (LD05357p)	cg CG8367 Dmel_CG8367	Drosophila melanogaster (Fruit fly)	671		AE013599	1 out of 5
Q7KHK9	AE013599	Q7KHK9_DROME	GO:0004197; GO:0005737; GO:0012501; GO:0035070; GO:0045476; GO:0046672; GO:0097153	unreviewed	DREAM (LD13366p) (STRICA) (Ser/Thr-rich caspase, isoform A) (EC 3.4.22.-) (Ser/Thr-rich caspase, isoform B)	Strica dream strica CG7863 Dmel_CG7863	Drosophila melanogaster (Fruit fly)	527		AE013599	3 out of 5
Q7KIN0	AE013599	TOLL7_DROME	GO:0002752; GO:0005030; GO:0007411; GO:0008329; GO:0009897; GO:0010508; GO:0016021; GO:0045087; GO:0046790; GO:0050688; GO:0051607	reviewed	Toll-like receptor 7	Toll-7 CG8595	Drosophila melanogaster (Fruit fly)	1446		AE013599	5 out of 5
Q7KIS4	AE013599	Q7KIS4_DROME	GO:0004067; GO:0008418	unreviewed	SP2637 (SP2637, isoform C) (SP2637, isoform D) (EC 3.5.1.-) (EC 3.5.1.1)	SP2637 CG5473 Dmel_CG5473	Drosophila melanogaster (Fruit fly)	310		AE013599	1 out of 5
Q7KJ08	AE013599	Q7KJ08_DROME	GO:0000186; GO:0004713; GO:0004714; GO:0004715; GO:0005524; GO:0006468; GO:0007169; GO:0007411; GO:0007498; GO:0007522; GO:0016021; GO:0040008; GO:0042051; GO:0043410; GO:0045610; GO:0045792; GO:0048565; GO:0061176; GO:0061177; GO:0070374; GO:0071212; GO:0090328; GO:1900074	unreviewed	Anaplastic lymphoma kinase, isoform A (EC 2.7.10.-) (EC 2.7.10.1) (EC 2.7.10.2) (Anaplastic lymphoma kinase, isoform B) (Receptor protein tyrosine kinase ALK splice variant A)	Alk CG8250 Dmel_CG8250	Drosophila melanogaster (Fruit fly)	1701		AE013599	5 out of 5
Q7KJ69	AE013599	Q7KJ69_DROME	GO:0019005; GO:0042787	unreviewed	GEO01805p1 (IP02725p) (SKP1-related B) (SKPB)	SkpB skpB CG8881 Dmel_CG8881	Drosophila melanogaster (Fruit fly)	161		AE013599	1 out of 5
Q7KJ73	AE013599	Q7KJ73_DROME	GO:0005887; GO:0007166; GO:0016021; GO:0045169	unreviewed	Tetraspanin	Tsp42Ee Tsp42Ee-RA CG10106 Dmel_CG10106	Drosophila melanogaster (Fruit fly)	228		AE013599	2 out of 5
Q7KJA9	AE013599	Q7KJA9_DROME	GO:0006486; GO:0006493; GO:0008375; GO:0010468; GO:0016757; GO:0035220; GO:0045475	unreviewed	O-glycosyltransferase (SD06381p) (Super sex combs, isoform A) (EC 2.4.-.-) (EC 2.4.1.-) (Super sex combs, isoform B) (Super sex combs, isoform C)	sxc CG10392-RC Ogt CG10392 Dmel_CG10392	Drosophila melanogaster (Fruit fly)	1059		AE013599	3 out of 5
Q7KJP2	AE013599	Q7KJP2_DROME	GO:0008643; GO:0016021; GO:0022857	unreviewed	FI08437p (Sugar transporter 3) (Sugar transporter 3, isoform A)	sut3 sut3-RA CG17976 Dmel_CG17976	Drosophila melanogaster (Fruit fly)	476		AE013599	1 out of 5
Q7KK51	AE013599	Q7KK51_DROME	GO:0000278; GO:0004438; GO:0004725; GO:0006470; GO:0008138; GO:0010506; GO:0046856; GO:0046872; GO:0052629	unreviewed	BcDNA.GH04637 (CG3530, isoform C) (EC 3.1.3.-) (EC 3.1.3.48)	BcDNA.GH04637 CG3530 Dmel_CG3530	Drosophila melanogaster (Fruit fly)	639		AE013599	3 out of 5
Q7KK54	AE013599	Q7KK54_DROME	GO:0001700; GO:0005829; GO:0005887	unreviewed	MIP07328p (Sema-1b, isoform A) (Sema-1b, isoform B) (Sema-1b, isoform C) (Semaphorin-like)	Sema1b Sema-1b Sema-1b-RB semaphorin-like CG6446 Dmel_CG6446	Drosophila melanogaster (Fruit fly)	770		AE013599	2 out of 5
Q7KK90	AE013599	Q7KK90_DROME	GO:0004364; GO:0005737; GO:0006749; GO:0006979; GO:0009408	unreviewed	GH14654p (Glutathione S transferase E1) (EC 2.5.1.18) (Glutathione S-transferase)	GstE1 Gst3 CG5164 Dmel_CG5164	Drosophila melanogaster (Fruit fly)	224		AE013599	2 out of 5
Q7KK96	AE013599	Q7KK96_DROME	GO:0000278; GO:0000785; GO:0000796; GO:0003682; GO:0005524; GO:0005634; GO:0005737; GO:0016887; GO:0030261; GO:0046982; GO:2000736	unreviewed	Structural maintenance of chromosomes protein	SMC2 CG10212 Dmel_CG10212	Drosophila melanogaster (Fruit fly)	1179		AE013599	3 out of 5
Q7KK97	AE013599	Q7KK97_DROME	GO:0008643; GO:0016021; GO:0022857	unreviewed	LD44652p (Sugar transporter 1)	sut1 CG8714 Dmel_CG8714	Drosophila melanogaster (Fruit fly)	507		AE013599	1 out of 5
Q7KKH3	AE013599	SDA1_DROME	GO:0000055; GO:0005634; GO:0005730; GO:0030036; GO:0042273	reviewed	Protein SDA1 homolog (Mystery protein 45A)	Mys45A CG8070	Drosophila melanogaster (Fruit fly)	712		AE013599	3 out of 5
Q7KKI0	AE013599	Q7KKI0_DROME	GO:0005524; GO:0005832; GO:0006458; GO:0016887; GO:0044183; GO:0051082; GO:0061077	unreviewed	GM12270p (T-complex chaperonin 5, isoform A) (EC 3.6.1.3)	CCT5 Cct5 CG8439 Dmel_CG8439	Drosophila melanogaster (Fruit fly)	542		AE013599	2 out of 5
Q7KLE5	AE013599	Q7KLE5_DROME	GO:0005543; GO:0005737; GO:0005886; GO:0006887; GO:0006937; GO:0008104; GO:0032154; GO:0042052; GO:0045202; GO:0045313	unreviewed	Amphiphysin (Amphiphysin, isoform A) (LD19810p)	Amph Amp CG8604 Dmel_CG8604	Drosophila melanogaster (Fruit fly)	602		AE013599	3 out of 5
Q7KLG8	AE013599	Q7KLG8_DROME	GO:0000281; GO:0003924; GO:0005525; GO:0005940; GO:0007444; GO:0051726	unreviewed	LD28935p (LD41037p) (Sep5) (Septin 5, isoform A) (Septin 5, isoform B)	Sep5 sep5 Sep5-RB CG2916 Dmel_CG2916	Drosophila melanogaster (Fruit fly)	422		AE013599	2 out of 5
Q7KLI1	AE013599	Q7KLI1_DROME	GO:0002921; GO:0005524; GO:0006915; GO:0006919; GO:0007291; GO:0007423; GO:0008635; GO:0008656; GO:0010332; GO:0012501; GO:0021556; GO:0033353; GO:0034352; GO:0035006; GO:0035070; GO:0035071; GO:0042594; GO:0042802; GO:0043065; GO:0043293; GO:0043531; GO:0046668; GO:0046672; GO:0048813; GO:0050700; GO:0051260; GO:0051291; GO:0070050; GO:0070328; GO:0097199; GO:1901053	unreviewed	Apaf-1 related killer DARK (Apaf-1/CED-4-related caspase activator Dapaf-1L) (Cell death protein HAC-1) (Death-associated APAF1-related killer, isoform B) (FI21208p1)	Dark Ark Ark-RB dapaf-1L Hac1 CG6829 Dmel_CG6829	Drosophila melanogaster (Fruit fly)	1440		AE013599	5 out of 5
Q7KLV9	AE013599	PSD11_DROME	GO:0000502; GO:0005198; GO:0005654; GO:0005829; GO:0005838; GO:0006511; GO:0007623; GO:0008063; GO:0008541; GO:0043161; GO:0043248	reviewed	26S proteasome non-ATPase regulatory subunit 11 (26S proteasome regulatory complex subunit p42B) (26S proteasome regulatory subunit Rpn6)	Rpn6 CG10149	Drosophila melanogaster (Fruit fly)	422		AE013599	5 out of 5
Q7KLW9	AE013599	Q7KLW9_DROME	GO:0000349; GO:0000381; GO:0000398; GO:0000974; GO:0004842; GO:0005681; GO:0006325; GO:0016567; GO:0046579; GO:0070374; GO:0071006; GO:0071011; GO:0071013	unreviewed	BcDNA.LD02793 (Pre-RNA processing factor 19)	Prp19 BcDNA.LD02793 Gbp CG5519 Dmel_CG5519	Drosophila melanogaster (Fruit fly)	505		AE013599	3 out of 5
Q7KLX3	AE013599	Q7KLX3_DROME	GO:0005783; GO:0012505; GO:0016021	unreviewed	GEO05407p1 (GM12291p) (RE71510p) (Translocon-associated protein delta, isoform A) (Translocon-associated protein delta, isoform B)	Tapdelta BcDNA:GM12291 Tap-delta CG9035 Dmel_CG9035	Drosophila melanogaster (Fruit fly)	166		AE013599	1 out of 5
Q7KM13	AE013599	HEY_DROME	GO:0003677; GO:0005634; GO:0006351; GO:0006355; GO:0007219; GO:0045746; GO:0046983; GO:0048664	reviewed	Hairy/enhancer-of-split related with YRPW motif protein	Hey Hesr-1 CG11194	Drosophila melanogaster (Fruit fly)	425		AE013599	3 out of 5
Q7KM15	AE013599	Q7KM15_DROME	GO:0005854; GO:0007317; GO:0060811; GO:0070201	unreviewed	Transcription factor BTF3	bic bic-RA CG3644 Dmel_CG3644	Drosophila melanogaster (Fruit fly)	169		AE013599	2 out of 5
Q7KMG7	AE013599	Q7KMG7_DROME	GO:0000014; GO:0000110; GO:0000710; GO:0000712; GO:0003684; GO:0003697; GO:0006289; GO:0006296; GO:0006312; GO:0007131; GO:0043234; GO:0046982; GO:0070522; GO:0070914	unreviewed	Ercc1 (Nucleotide excision repair protein ERCC1)	Ercc1 CG10215 Dmel_CG10215	Drosophila melanogaster (Fruit fly)	259		AE013599	3 out of 5
Q7KMH5	AE013599	Q7KMH5_DROME	GO:0005634; GO:0005737; GO:0010629; GO:0042051; GO:0042826	unreviewed	BcDNA.LD29892 (CG8378)	Smyd4-4 BcDNA.LD29892 CG8378 Dmel_CG8378	Drosophila melanogaster (Fruit fly)	573		AE013599	2 out of 5
Q7KMH9	AE013599	Q7KMH9_DROME	GO:0005694; GO:0090309	unreviewed	BcDNA.LD26050 (Windei, isoform A) (Windei, isoform B)	wde BcDNA.LD26050 CG12340 Dmel_CG12340	Drosophila melanogaster (Fruit fly)	1420		AE013599	1 out of 5
Q7KMI3	AE013599	Q7KMI3_DROME	GO:0004672; GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0006468; GO:0008360; GO:0018105; GO:0040029; GO:0046579; GO:0070374	unreviewed	BcDNA.LD23371 (CG8878, isoform A) (EC 2.7.11.-) (CG8878, isoform B) (CG8878, isoform C) (RE74744p)	BcDNA.LD23371 BcDNA:LD23371 CG8878 Dmel_CG8878	Drosophila melanogaster (Fruit fly)	1004		AE013599	2 out of 5
Q7KMJ6	AE013599	Q7KMJ6_DROME	GO:0000381; GO:0000398; GO:0003676; GO:0003729; GO:0005634; GO:0010628; GO:0030177; GO:0035222; GO:0048749; GO:0071011; GO:2000737	unreviewed	BcDNA.GH11110 (Spenito, isoform A) (Spenito, isoform B) (Spenito, isoform C)	nito BcDNA.GH11110 CG2910 Dmel_CG2910	Drosophila melanogaster (Fruit fly)	793		AE013599	3 out of 5
Q7KML2	AE013599	ACOX1_DROME	GO:0003995; GO:0003997; GO:0005777; GO:0006091; GO:0006629; GO:0006635; GO:0006693; GO:0019395; GO:0033539; GO:0033540; GO:0050660; GO:0071949	reviewed	Probable peroxisomal acyl-coenzyme A oxidase 1 (EC 1.3.3.6)	CG5009	Drosophila melanogaster (Fruit fly)	669		AE013599	4 out of 5
Q7KML4	AE013599	Q7KML4_DROME	GO:0004630; GO:0006654; GO:0007030; GO:0007349; GO:0007602; GO:0010004; GO:0016042; GO:0031410; GO:0035091; GO:0048017; GO:0048215; GO:0070290	unreviewed	Phospholipase (EC 3.1.4.4)	Pld BcDNA:GH07089 Pld-RE CG12110 Dmel_CG12110	Drosophila melanogaster (Fruit fly)	1278		AE013599	4 out of 5
Q7KMM5	AE013599	Q7KMM5_DROME	GO:0005267; GO:0005887; GO:0016021; GO:0022841; GO:0030322; GO:0071805	unreviewed	BcDNA.GH04802 (CG1688)	BcDNA.GH04802 CG1688 Dmel_CG1688	Drosophila melanogaster (Fruit fly)	918		AE013599	2 out of 5
Q7KMM8	AE013599	Q7KMM8_DROME	GO:0005634; GO:0005737; GO:0005927; GO:0035371; GO:0051010	unreviewed	BcDNA.GH03482 (Kank, isoform A)	Kank BcDNA.GH03482 CG10249 Dmel_CG10249	Drosophila melanogaster (Fruit fly)	1224		AE013599	2 out of 5
Q7KMQ0	AE013599	Q7KMQ0_DROME	GO:0005524; GO:0005654; GO:0005700; GO:0005829; GO:0005838; GO:0007623; GO:0008063; GO:0008540; GO:0016887; GO:0017025; GO:0030433; GO:0031595; GO:0031597; GO:0036402; GO:0043161; GO:0045899	unreviewed	26S proteasome regulatory complex subunit p48B (Regulatory particle triple-A ATPase 1) (EC 3.-.-.-) (EC 3.6.1.3) (SD07148p)	Rpt1 CG1341 Dmel_CG1341	Drosophila melanogaster (Fruit fly)	433		AE013599	4 out of 5
Q7KMS3	AE013599	Q7KMS3_DROME	GO:0003774; GO:0005858; GO:0005868; GO:0005874; GO:0005875; GO:0007018; GO:0016319; GO:0030286; GO:0036157; GO:0042623; GO:0045505; GO:0048813	unreviewed	Dynein light chain roadblock	robl CG10751 Dmel_CG10751	Drosophila melanogaster (Fruit fly)	97		AE013599	3 out of 5
Q7KN04	AE013599	Q7KN04_DROME	GO:0004867; GO:0005576; GO:0005578	unreviewed	Fat-spondin (GH05860p)	fat-spondin CG6953 Dmel_CG6953	Drosophila melanogaster (Fruit fly)	763		AE013599	1 out of 5
Q7KN61	AE013599	Q7KN61_DROME	GO:0004161; GO:0004337; GO:0005737; GO:0008354; GO:0045337	unreviewed	Farnesyl pyrophosphate synthase (EC 2.5.1.1) (EC 2.5.1.10) (GM06581p) (RE52884p)	Fpps CG12389 Dmel_CG12389	Drosophila melanogaster (Fruit fly)	419		AE013599	2 out of 5
Q7KN62	AE013599	TERA_DROME	GO:0000226; GO:0000502; GO:0005524; GO:0005634; GO:0005737; GO:0005886; GO:0006508; GO:0006511; GO:0007029; GO:0007030; GO:0007040; GO:0007279; GO:0007317; GO:0016320; GO:0016787; GO:0031965; GO:0032436; GO:0035096; GO:0043186; GO:0043523; GO:0043525; GO:0044754; GO:0045169; GO:0046598; GO:0046716; GO:0048477; GO:0048813; GO:0097352; GO:0098586	reviewed	Transitional endoplasmic reticulum ATPase TER94 (EC 3.6.4.6) (Valosin-containing protein homolog)	TER94 VCP CG2331	Drosophila melanogaster (Fruit fly)	801		AE013599	5 out of 5
Q7KN74	AE013599	Q7KN74_DROME		unreviewed	Lethal (2) k14710, isoform A	l(2)k14710 CG8325 Dmel_CG8325	Drosophila melanogaster (Fruit fly)	861		AE013599	1 out of 5
Q7KN75	AE013599	Q7KN75_DROME	GO:0000792; GO:0003696; GO:0003697; GO:0003730; GO:0005634; GO:0005701; GO:0007059; GO:0030261; GO:0030529; GO:0031507; GO:0045727	unreviewed	Dodeca-satellite-binding protein 1, isoform A (Dodeca-satellite-binding protein 1, isoform B) (Dodeca-satellite-binding protein 1, isoform D) (Dodeca-satellite-binding protein 1, isoform E) (Dodeca-satellite-binding protein 1, isoform F) (Dodeca-satellite-binding protein 1, isoform G) (Dodeca-satellite-binding protein 1, isoform H)	Dp1 CG5170 Dmel_CG5170	Drosophila melanogaster (Fruit fly)	1301		AE013599	4 out of 5
Q7KN79	AE013599	LTV1_DROME	GO:0000056; GO:0005634; GO:0006364; GO:0016049; GO:0022627; GO:0030688; GO:0031902; GO:0034448; GO:0042023; GO:0042274; GO:0045793	reviewed	Protein LTV1 homolog	CG7686	Drosophila melanogaster (Fruit fly)	493		AE013599	4 out of 5
Q7KN83	AE013599	Q7KN83_DROME	GO:0010529; GO:0043186; GO:0048471; GO:1990511	unreviewed	CG8920, isoform A	tapas CG8920 Dmel_CG8920	Drosophila melanogaster (Fruit fly)	879		AE013599	2 out of 5
Q7KN85	AE013599	Q7KN85_DROME	GO:0003878; GO:0005524; GO:0005829; GO:0006085; GO:0006101; GO:0006633; GO:0009346; GO:0016829; GO:0046872; GO:0048037	unreviewed	ATP-citrate synthase (EC 2.3.3.8) (ATP-citrate (pro-S-)-lyase) (Citrate cleavage enzyme)	ATPCL CG8322 Dmel_CG8322	Drosophila melanogaster (Fruit fly)	1112		AE013599	3 out of 5
Q7KN90	AE013599	SYCC_DROME	GO:0000049; GO:0004817; GO:0005524; GO:0005737; GO:0006423; GO:0046872	reviewed	Cysteine--tRNA ligase, cytoplasmic (EC 6.1.1.16) (Cysteinyl-tRNA synthetase)	CysRS Aats-cys CG8431	Drosophila melanogaster (Fruit fly)	741		AE013599	3 out of 5
Q7KN92	AE013599	Q7KN92_DROME	GO:0005794; GO:0005975; GO:0006044; GO:0006688; GO:0007528; GO:0008344; GO:0008376; GO:0009247; GO:0033207; GO:0033842	unreviewed	Beta4GalNAcTA (EC 2.4.1.-) (EC 2.4.1.244) (RE56531p)	beta4GalNAcTA BcDNA:GH13356 beta-4GalNAcTA beta-4GalTA CG8536 Dmel_CG8536	Drosophila melanogaster (Fruit fly)	403		AE013599	4 out of 5
Q7KN94	AE013599	Q7KN94_DROME	GO:0002009; GO:0006119; GO:0007424; GO:0007443; GO:0008258; GO:0009055; GO:0016491; GO:0017133; GO:0033539; GO:0048567; GO:0050660	unreviewed	Walrus, isoform A (Walrus, isoform B)	wal CG8996 Dmel_CG8996	Drosophila melanogaster (Fruit fly)	330		AE013599	3 out of 5
Q7KN97	AE013599	Q7KN97_DROME	GO:0004075; GO:0004736; GO:0005524; GO:0005739; GO:0005759; GO:0006090; GO:0006094; GO:0009374; GO:0046872	unreviewed	Pyruvate carboxylase (EC 6.4.1.1)	PCB CG1516 Dmel_CG1516	Drosophila melanogaster (Fruit fly)	1181		AE013599	3 out of 5
Q7KNA0	AE013599	DYM_DROME	GO:0005794; GO:0007030	reviewed	Dymeclin	CG8230	Drosophila melanogaster (Fruit fly)	699		AE013599	2 out of 5
Q7KND8	AE013599	Q7KND8_DROME	GO:0000776; GO:0005635; GO:0005654; GO:0007094; GO:0051315	unreviewed	FI09619p (Mad1) (TXBP181-like protein)	Mad1 TXBP181-like TXBP181-like-RA CG2072 Dmel_CG2072	Drosophila melanogaster (Fruit fly)	730		AE013599	2 out of 5
Q7KNF1	AE013599	Q7KNF1_DROME	GO:0003725; GO:0004525; GO:0005634; GO:0007294; GO:0016075; GO:0016319; GO:0030422; GO:0030727; GO:0031053; GO:0031054; GO:0035070; GO:0070877; GO:0090502	unreviewed	Drosha (EC 3.1.26.3) (LD20030p) (Ribonuclease)	drosha CG8730 Dmel_CG8730	Drosophila melanogaster (Fruit fly)	1327		AE013599	3 out of 5
Q7KNF2	AE013599	PABP2_DROME	GO:0000289; GO:0000398; GO:0003723; GO:0003729; GO:0005634; GO:0005737; GO:0006378; GO:0008143; GO:0060050; GO:0071011; GO:0071013; GO:1904247	reviewed	Polyadenylate-binding protein 2 (PABP-2) (Poly(A)-binding protein 2) (dPABP2) (Nuclear poly(A)-binding protein 1) (Poly(A)-binding protein II) (PABII) (Polyadenylate-binding nuclear protein 1) (Protein rox2)	Pabp2 rox2 CG2163	Drosophila melanogaster (Fruit fly)	224		AE013599	5 out of 5
Q7KNF5	AE013599	Q7KNF5_DROME	GO:0000724; GO:0003677; GO:0005634; GO:0005652; GO:0005654; GO:0005700; GO:0005737; GO:0007259; GO:0007446; GO:0008270; GO:0030097; GO:0030261; GO:0035012; GO:0042176; GO:0045089; GO:0046425; GO:0046426; GO:0048749; GO:0050829; GO:0051276	unreviewed	Suppressor of variegation 2-10, isoform A (Zimp-A)	Su(var)2-10 zimp CG8068 Dmel_CG8068	Drosophila melanogaster (Fruit fly)	554		AE013599	5 out of 5
Q7KNQ9	AE013599	Q7KNQ9_DROME	GO:0001751; GO:0005737; GO:0005829; GO:0005886; GO:0005913; GO:0007165; GO:0007265; GO:0007426; GO:0007476; GO:0007623; GO:0008293; GO:0008586; GO:0008595; GO:0045177; GO:0046579; GO:0070374	unreviewed	Connector enhancer of KSR protein CNK (Connector enhancer of ksr, isoform A) (Connector enhancer of ksr, isoform B) (SD09985p)	cnk CG6556 Dmel_CG6556	Drosophila melanogaster (Fruit fly)	1557		AE013599	4 out of 5
Q7KNS3	AE013599	LIS1_DROME	GO:0000132; GO:0000776; GO:0000777; GO:0000922; GO:0005813; GO:0005828; GO:0005829; GO:0005869; GO:0005938; GO:0006886; GO:0007018; GO:0007093; GO:0007097; GO:0007283; GO:0007294; GO:0007298; GO:0007303; GO:0007312; GO:0007405; GO:0008017; GO:0008088; GO:0008090; GO:0008104; GO:0008298; GO:0010970; GO:0016319; GO:0016358; GO:0019827; GO:0030286; GO:0030381; GO:0030424; GO:0030425; GO:0030426; GO:0030473; GO:0030510; GO:0030706; GO:0030716; GO:0030723; GO:0031616; GO:0034501; GO:0042052; GO:0042623; GO:0043025; GO:0043143; GO:0045478; GO:0046716; GO:0046843; GO:0047496; GO:0048135; GO:0048142; GO:0048477; GO:0048813; GO:0048814; GO:0051225; GO:0051299; GO:0051383; GO:0051642; GO:0051647; GO:0061883; GO:0070840; GO:0072499; GO:0098930; GO:1904115; GO:2000574	reviewed	Lissencephaly-1 homolog (DLis-1) (Dlis1) (Lissencephaly1)	Lis-1 Lis1 CG8440	Drosophila melanogaster (Fruit fly)	411		AE013599	5 out of 5
Q7KNS5	AE013599	Q7KNS5_DROME	GO:0003723; GO:0005737	unreviewed	Quaking related 54B, isoform A (Quaking related 54B, isoform B) (Quaking related 54B, isoform D) (RE34120p) (Sam50)	qkr54B CG4816 Dmel_CG4816	Drosophila melanogaster (Fruit fly)	428		AE013599	1 out of 5
Q7KPA5	AE013599	SPO11_DROME	GO:0000228; GO:0000706; GO:0000737; GO:0003677; GO:0003918; GO:0005524; GO:0006265; GO:0007131; GO:0016889; GO:0030717; GO:0042138; GO:0042139; GO:0042140; GO:0046872; GO:0048477	reviewed	Meiotic recombination protein W68 (SPO11 protein homolog)	mei-W68 CG7753	Drosophila melanogaster (Fruit fly)	331		AE013599	5 out of 5
Q7KPG8	AE013599	Q7KPG8_DROME	GO:0000079; GO:0004693; GO:0005675; GO:0006281; GO:0006289; GO:0006357; GO:0006367; GO:0008270; GO:0008353; GO:0032806; GO:0061575	unreviewed	CDK7/cyclin H assembly factor MAT1 (FI01030p) (Menage a trois 1 ortholog) (EC 2.7.11.22) (EC 2.7.11.23)	Mat1 MAT1 CG7614 Dmel_CG7614	Drosophila melanogaster (Fruit fly)	320		AE013599	3 out of 5
Q7KQC4	AE013599	Q7KQC4_DROME	GO:0005096; GO:0007298; GO:0031982; GO:0043087	unreviewed	Related to the N terminus of tre oncogene, isoform B (Tre oncogene-related protein)	RN-tre CG8085 Dmel_CG8085	Drosophila melanogaster (Fruit fly)	457		AE013599	1 out of 5
Q7KQZ4	AE013599	LOLA3_DROME	GO:0003677; GO:0003700; GO:0005634; GO:0005654; GO:0006351; GO:0006355; GO:0007409; GO:0007411; GO:0007464; GO:0007526; GO:0008406; GO:0016199; GO:0019730; GO:0035167; GO:0044719; GO:0045467; GO:0045476; GO:0045893; GO:0046872; GO:0048813	reviewed	Longitudinals lacking protein, isoforms A/B/D/L	lola CG12052	Drosophila melanogaster (Fruit fly)	787		AE013599	5 out of 5
Q7KR04	AE013599	RS15B_DROME	GO:0002181; GO:0003735; GO:0022627	reviewed	40S ribosomal protein S15Ab	RpS15Ab RpS15A CG12324	Drosophila melanogaster (Fruit fly)	130		AE013599	2 out of 5
